Day,type,Lot Name,Lot Number,Total Spaces,0700,1100,1400,1600
tuesday,Residential,Nicholson Gateway Garage (Level 2),701,146,55% Full,56% Full,70% Full,61% Full
tuesday,Residential,Nicholson Gateway Garage (Level 3),701,170,19% Full,21% Full,21% Full,24% Full
tuesday,Residential,Nicholson Gateway Garage (Level 4),701,171,6% Full,9% Full,5% Full,6% Full
tuesday,Residential,Nicholson Gateway Garage (Level 5),701,178,1% Full,4% Full,4% Full,2% Full
tuesday,Residential,East Campus Apartments (East Lot),504 A,191,100% Full,99% Full,98% Full,100% Full
tuesday,Residential,East Campus Apartments (West Lot),504 B,218,100% Full,99% Full,96% Full,100% Full
tuesday,Residential,Corporate Canal South Lot,518 B,81,85% Full,74% Full,89% Full,91% Full
tuesday,Residential,Campus Lake - South Campus Lot (McVoy Hall),Street,18,94% Full,100% Full,100% Full,100% Full
tuesday,Residential,South Campus Street (Bridge) Lot,Street,105,93% Full,97% Full,92% Full,95% Full
tuesday,Residential,South Stadium / East Parker / Highland Rd. (Street) Lot,Street,172,63% Full,67% Full,66% Full,62% Full
tuesday,Greek,Fraternity Circle Lot,501,94,77% Full,87% Full,93% Full,83% Full
tuesday,Greek,Greek Row Central Lot,521,203,50% Full,63% Full,67% Full,43% Full
tuesday,Greek,Greek Row South Lot,523,84,86% Full,87% Full,82% Full,77% Full
tuesday,Greek,Greek Row North Lot,524,141,9% Full,33% Full,42% Full,25% Full
tuesday,Greek,Fraternity Ln. Lot (Street),500A,25,52% Full,68% Full,80% Full,44% Full
tuesday,Greek,Fraternity Ln. Lot,500B,53,54% Full,91% Full,87% Full,85% Full
tuesday,Greek,Fraternity Ln. East Lot (Gravel),500B,41,80% Full,78% Full,71% Full,66% Full
tuesday,Greek,Fraternity Ln. North Lot,500C,83,63% Full,96% Full,98% Full,96% Full
tuesday,Greek,Greek Row West Lot,520,84,96% Full,98% Full,99% Full,98% Full
tuesday,Greek,West Lakeshore North Lot,513,116,85% Full,77% Full,74% Full,59% Full
tuesday,B Permit,West State St. Lot,218,55,69% Full,85% Full,80% Full,65% Full
tuesday,B Permit,Donahue St. Lot,220,18,16% Full,94% Full,94% Full,77% Full
tuesday,B Permit,Old Band Hall (Gravel) Lot,222,26,65% Full,11% Full,19% Full,11% Full
tuesday,B Permit,312A Gravel Lot,312,30,63% Full,100% Full,100% Full,80% Full
tuesday,B Permit,Public Safety B Lot,400,42,30% Full,45% Full,57% Full,40% Full
